Loading settings.json...

Using set seed 0

Loading csv files...

Beginning evolution...

Generation 1 | Best: 5051.2 | Median: 7851.7 | Worst: 12152.5
Generation 2 | Best: 5049.4 | Median: 7455 | Worst: 12157.2
Generation 3 | Best: 4855 | Median: 7154.6 | Worst: 11755.5
Generation 4 | Best: 4849.7 | Median: 6950.9 | Worst: 11755.5
Generation 5 | Best: 4651.6 | Median: 6655.6 | Worst: 11054.6
Generation 6 | Best: 4651 | Median: 6455 | Worst: 10652.4
Generation 7 | Best: 4252 | Median: 6348.3 | Worst: 10652.4
Generation 8 | Best: 4149.7 | Median: 6151.2 | Worst: 9657.3
Generation 9 | Best: 4149.7 | Median: 5954.6 | Worst: 9157.4
Generation 10 | Best: 3852 | Median: 5851.7 | Worst: 9455.2
Generation 11 | Best: 3852 | Median: 5749.7 | Worst: 8754.6
Generation 12 | Best: 3852 | Median: 5554.5 | Worst: 8850.6
Generation 13 | Best: 3851.7 | Median: 5452.3 | Worst: 8455.3
Generation 14 | Best: 3750.7 | Median: 5351.3 | Worst: 8455.3
Generation 15 | Best: 3750.7 | Median: 5250.9 | Worst: 8454.6
Generation 16 | Best: 3748 | Median: 5151 | Worst: 8454.6
Generation 17 | Best: 3452.3 | Median: 5051.9 | Worst: 8054.9
Generation 18 | Best: 3451.7 | Median: 4952 | Worst: 8557.1
Generation 19 | Best: 3254.6 | Median: 4852.3 | Worst: 7554.6
Generation 20 | Best: 3251.9 | Median: 4753 | Worst: 8053.3
Generation 21 | Best: 3251.9 | Median: 4654.9 | Worst: 7051.3
Generation 22 | Best: 2954.3 | Median: 4648 | Worst: 7449.9
Generation 23 | Best: 2954.3 | Median: 4550 | Worst: 7753.6
Generation 24 | Best: 2950 | Median: 4451 | Worst: 8750.3
Generation 25 | Best: 2851.3 | Median: 4352.3 | Worst: 8750.3
Generation 26 | Best: 2851.3 | Median: 4347.4 | Worst: 8750.3
Generation 27 | Best: 2550.3 | Median: 4249.6 | Worst: 8949
Generation 28 | Best: 2550.3 | Median: 4151 | Worst: 7952.2
Generation 29 | Best: 2448.4 | Median: 4052.9 | Worst: 7952.2
Generation 30 | Best: 2448.4 | Median: 4048.4 | Worst: 7350.9
Generation 31 | Best: 2248.4 | Median: 3950.3 | Worst: 6751.9
Generation 32 | Best: 2248.4 | Median: 3851 | Worst: 6952.1
Generation 33 | Best: 2248.4 | Median: 3751.9 | Worst: 6751.8
Generation 34 | Best: 2248.4 | Median: 3747.7 | Worst: 6751.8
Generation 35 | Best: 2152 | Median: 3650 | Worst: 6351.3
